,count,max,min
Gurgling,26,0.04,0.01
Harp,154,0.09,0.0
Jet engine,97,0.12,0.01
Heavy engine (low frequency),84,0.07,0.01
Aircraft,105,0.13,0.0
"Boat, Water vehicle",77,0.22,0.01
Finger snapping,18,0.31,0.0
Clicking,55,0.32,0.0
Sigh,55,0.37,0.0
Noise,140,0.1,0.0
Speech synthesizer,55,0.1,0.0
Medium engine (mid frequency),124,0.12,0.0
Trance music,19,0.02,0.0
Microwave oven,194,0.14,0.0
Squeal,39,0.07,0.01
Cash register,34,0.18,0.01
Caterwaul,31,0.07,0.0
Bouncing,41,0.09,0.0
Crunch,12,0.04,0.01
Tearing,11,0.15,0.01
Blues,51,0.01,0.0
Thunk,82,0.26,0.0
Slam,256,0.18,0.0
Clapping,8,0.07,0.0
Scissors,30,0.07,0.01
Clock,32,0.06,0.01
"Whoosh, swoosh, swish",89,0.13,0.0
Flap,81,0.09,0.0
Mouse,301,0.21,0.0
Purr,9,0.25,0.01
Idling,79,0.1,0.01
Chopping (food),18,0.08,0.0
"Ratchet, pawl",25,0.21,0.01
Clatter,30,0.16,0.0
"Slap, smack",303,0.15,0.0
"Baby cry, infant cry",22,0.25,0.01
Rain,41,0.19,0.01
Thunderstorm,4,0.04,0.01
Thunder,14,0.05,0.01
Humming,48,0.49,0.0
Caw,86,0.15,0.01
Single-lens reflex camera,462,0.87,0.0
Scratch,137,0.44,0.0
Explosion,219,0.33,0.0
Sonar,81,0.12,0.0
Harpsichord,103,0.06,0.0
Rumble,36,0.22,0.01
Whistle,9,0.07,0.01
Bicycle,15,0.06,0.0
Zipper (clothing),116,0.7,0.0
"Burst, pop",180,0.5,0.0
Toot,22,0.02,0.0
Sheep,98,0.24,0.01
Air conditioning,30,0.08,0.0
Boiling,57,0.09,0.0
Whimper (dog),30,0.08,0.0
Howl,38,0.22,0.01
Yip,29,0.05,0.01
"Canidae, dogs, wolves",28,0.08,0.01
"Accelerating, revving, vroom",139,0.15,0.01
Motorcycle,8,0.04,0.0
Whimper,36,0.18,0.01
"Wail, moan",10,0.11,0.01
"Motorboat, speedboat",105,0.52,0.01
Snake,55,0.11,0.0
Sizzle,18,0.08,0.0
Bow-wow,69,0.1,0.01
Drum kit,43,0.03,0.0
Drum roll,5,0.05,0.01
Church bell,30,0.29,0.0
Sneeze,15,0.19,0.01
Cricket,9,0.22,0.0
Whir,19,0.05,0.01
Ambient music,129,0.16,0.0
New-age music,17,0.02,0.0
"Rowboat, canoe, kayak",16,0.07,0.01
Printer,39,0.72,0.0
Chime,54,0.08,0.0
Bicycle bell,37,0.76,0.01
"Chuckle, chortle",10,0.03,0.01
"Crowing, cock-a-doodle-doo",15,0.12,0.01
"Wind instrument, woodwind instrument",68,0.22,0.0
Shofar,12,0.06,0.0
Flute,5,0.04,0.0
Traditional music,4,0.02,0.01
Folk music,2,0.01,0.0
Police car (siren),11,0.11,0.0
Progressive rock,84,0.02,0.0
Goose,17,0.05,0.01
Timpani,118,0.21,0.0
Typing,57,0.3,0.0
Gears,21,0.16,0.01
Bark,4,0.03,0.01
Artillery fire,8,0.09,0.01
"Gunshot, gunfire",16,0.1,0.01
Shuffle,33,0.05,0.0
Synthetic singing,32,0.13,0.0
Female singing,35,0.06,0.01
Drip,16,0.13,0.0
Liquid,28,0.04,0.01
"Pigeon, dove",9,0.04,0.01
"Electric shaver, electric razor",55,0.19,0.0
Arrow,22,0.28,0.01
Bleat,89,0.27,0.0
Whispering,16,0.03,0.0
Cluck,27,0.07,0.01
Beatboxing,6,0.06,0.01
Breaking,23,0.11,0.01
"Smash, crash",11,0.03,0.01
Gobble,37,0.12,0.01
Turkey,41,0.15,0.01
"Crumpling, crinkling",8,0.04,0.01
Squawk,18,0.04,0.01
Glockenspiel,8,0.03,0.01
"Fixed-wing aircraft, airplane",41,0.1,0.0
Crow,53,0.13,0.01
Whistling,13,0.19,0.01
Reversing beeps,5,0.07,0.02
Telephone bell ringing,46,0.2,0.0
Lawn mower,1,0.03,0.03
Camera,7,0.03,0.01
Music of Bollywood,1,0.02,0.02
Pulse,19,0.04,0.0
"Propeller, airscrew",34,0.11,0.01
"Jingle, tinkle",10,0.04,0.0
Scratching (performance technique),26,0.12,0.0
Alarm clock,16,0.03,0.0
Bass drum,16,0.03,0.0
Snare drum,8,0.03,0.01
Conversation,24,0.01,0.0
"Roaring cats (lions, tigers)",5,0.15,0.02
Wild animals,4,0.09,0.02
French horn,12,0.05,0.0
Mantra,24,0.25,0.01
Male singing,23,0.37,0.0
Lullaby,19,0.14,0.01
Chant,9,0.05,0.01
Song,9,0.02,0.01
Vocal music,7,0.02,0.01
Harmonica,2,0.01,0.0
Organ,3,0.02,0.01
Dubstep,54,0.05,0.0
Jingle (music),4,0.0,0.0
Punk rock,9,0.01,0.0
Breathing,8,0.04,0.01
"Burping, eructation",10,0.48,0.01
"Female speech, woman speaking",5,0.02,0.0
Glass,6,0.04,0.01
Gargling,3,0.04,0.03
Sidetone,13,0.1,0.0
Train horn,6,0.1,0.02
Train whistle,5,0.08,0.02
Rail transport,14,0.04,0.02
Crackle,26,0.08,0.01
Drill,1,0.04,0.04
"Bird vocalization, bird call, bird song",8,0.04,0.01
"Chirp, tweet",5,0.03,0.01
Pulleys,5,0.03,0.02
Screaming,24,0.17,0.01
Whale vocalization,2,0.14,0.02
Opera,1,0.02,0.02
Christmas music,1,0.02,0.02
"Thump, thud",2,0.02,0.01
"Fire engine, fire truck (siren)",6,0.06,0.0
Cowbell,3,0.04,0.01
Typewriter,14,0.03,0.01
"Rodents, rats, mice",17,0.06,0.0
Electronic organ,4,0.01,0.01
Car alarm,6,0.04,0.0
Ambulance (siren),5,0.03,0.02
Change ringing (campanology),4,0.04,0.01
Roll,1,0.0,0.0
Motor vehicle (road),6,0.02,0.01
Bus,10,0.03,0.01
Car passing by,5,0.03,0.01
Groan,21,0.17,0.01
Scary music,10,0.04,0.01
"Sailboat, sailing ship",3,0.01,0.01
Writing,11,0.1,0.01
Rub,12,0.53,0.01
Pant,1,0.02,0.02
Hands,4,0.03,0.01
Pump (liquid),11,0.06,0.01
